id,split,language,source,text,expression,matched_expression,span_start,span_end,token_span_start,token_span_end,num_tokens,label,label_2,iob2_tags,char_mask,sentence_char_length,idiom_char_length,idiom_length,sentence_type,position_ratio,position_category
0,dev,he,inhouse,"אם שר האוצר לא ימצא פתרון למשבר החמור שנוצר בעקבות המלחמה הארוכה ביותר עד כה, הוא עדיין ימשיך לשבור את הראש בניסיון להבין איך לתקן את הבעיה התקציבית.",שבר את הראש,לשבור את הראש,94,107,18,21,28,פיגורטיבי,1,O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111000000000000000000000000000000000000000000,149,13,3,Declarative,0.6428571428571429,middle
1,dev,he,inhouse,"כמה זמן שברת את הראש על ניסוח המייל עם הרעיון המהפכני הזה שלך לדירקטוריון, והאם בסוף שלחת אותו כפי שהוא?",שבר את הראש,שברת את הראש,8,20,2,5,20,פיגורטיבי,1,O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O,00000000111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000,104,12,3,Question,0.1,start
2,dev,he,inhouse,"היא מעולם לא שברה את הראש כל כך הרבה זמן כדי למצוא רעיון יצירתי למתנת יום הולדת מפתיעה כזאת, ובסוף, אחרי ימים של חיפושים, החליטה להזמין חופשה רומנטית באיטליה כהפתעה מושלמת.",שבר את הראש,שברה את הראש,13,25,3,6,31,פיגורטיבי,1,O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O,0000000000000111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,172,12,3,Declarative,0.0967741935483871,start
3,dev,he,inhouse,"הצוות כולו שבר את הראש על איך לעמוד בדדליין, תוך כדי שנאלץ להתמודד עם בעיות טכניות בלתי צפויות, קיצוץ בתקציב ולחץ תקשורתי מצד ההנהלה הבכירה.",שבר את הראש,שבר את הראש,11,22,2,5,25,פיגורטיבי,1,O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O,00000000000111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,140,11,3,Declarative,0.08,start
4,dev,he,inhouse,שברתי את הראש להבין מה היא בעצם מנסה לומר לי.,שבר את הראש,שברתי את הראש,0,13,0,3,10,פיגורטיבי,1,B-IDIOM I-IDIOM I-IDIOM O O O O O O O,111111111111100000000000000000000000000000000,45,13,3,Declarative,0.0,start
5,dev,he,inhouse,"המהנדס שבר את הראש בניסיון לפתור את התקלה המורכבת במערכת הביוב, בזמן שדיווחים על כשלי מערכת פורסמו בתקשורת המקומית והלחץ רק הלך וגבר בכל דקה שעברה.",שבר את הראש,שבר את הראש,7,18,1,4,26,פיגורטיבי,1,O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O,000000011111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,147,11,3,Declarative,0.0384615384615384,start
6,dev,he,inhouse,"הם שברו את הראש איך להסביר את זה לילדים בלי להפחיד אותם, ובסוף בחרו בגישה רגועה עם דוגמאות מצוירות שהכינו לילדים באמצעות הצ׳אט.",שבר את הראש,שברו את הראש,3,15,1,4,23,פיגורטיבי,1,O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O,0001111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,127,12,3,Declarative,0.0434782608695652,start
7,dev,he,inhouse,אני שובר את הראש כל פעם מחדש עם הטפסים האלה.,שבר את הראש,שובר את הראש,4,16,1,4,10,פיגורטיבי,1,O B-IDIOM I-IDIOM I-IDIOM O O O O O O,00001111111111110000000000000000000000000000,44,12,3,Declarative,0.1,start
8,dev,he,inhouse,"הוא שבר את הראש כל הלילה בשביל להגיש בזמן את עבודת הגמר, אך כשהמערכת קרסה לפתע בבוקר ההגשה, הוא כמעט ויתר והתקשר למרצה להסביר את המצב ולבקש ממנו עזרה.",שבר את הראש,שבר את הראש,4,15,1,4,29,פיגורטיבי,1,O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O,000011111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,150,11,3,Declarative,0.0344827586206896,start
9,dev,he,inhouse,"המאמנת שברה את הראש כדי להבין את חוקי הפורמט החדש של תחרות השחייה, שנקבעו בעקבות תקנות חדשות של האיגוד העולמי, תוך כדי אימון מפרך ומתיש.",שבר את הראש,שברה את הראש,7,19,1,4,25,פיגורטיבי,1,O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O,0000000111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,136,12,3,Declarative,0.04,start
